No,Date,Close,Before Stock Date,,,,,,,,,,,
,,,1,2,3,4,5,6,7,8,9,10,,
1,4/16/2020,4210,4610,4750,5025,5200,5125,4770,4670,4470,4570,4400,,
2,4/17/2020,4380,4750,5025,5200,5125,4770,4670,4470,4570,4400,4210,,
3,4/20/2020,4370,5025,5200,5125,4770,4670,4470,4570,4400,4210,4380,,
4,4/21/2020,4350,5200,5125,4770,4670,4470,4570,4400,4210,4380,4370,,
5,4/22/2020,4490,5125,4770,4670,4470,4570,4400,4210,4380,4370,4350,,
6,4/23/2020,4500,4770,4670,4470,4570,4400,4210,4380,4370,4350,4490,,
7,4/24/2020,4280,4670,4470,4570,4400,4210,4380,4370,4350,4490,4500,,
8,4/27/2020,4150,4470,4570,4400,4210,4380,4370,4350,4490,4500,4280,,
9,4/28/2020,4150,4570,4400,4210,4380,4370,4350,4490,4500,4280,4150,,
10,4/29/2020,4000,4400,4210,4380,4370,4350,4490,4500,4280,4150,4150,,
11,4/30/2020,4460,4210,4380,4370,4350,4490,4500,4280,4150,4150,4000,,
12,5/4/2020,4290,4380,4370,4350,4490,4500,4280,4150,4150,4000,4460,,
13,5/5/2020,4220,4370,4350,4490,4500,4280,4150,4150,4000,4460,4290,,
14,5/6/2020,4160,4350,4490,4500,4280,4150,4150,4000,4460,4290,4220,,
15,5/8/2020,4200,4490,4500,4280,4150,4150,4000,4460,4290,4220,4160,,
16,5/11/2020,4230,4500,4280,4150,4150,4000,4460,4290,4220,4160,4200,,
17,5/12/2020,4010,4280,4150,4150,4000,4460,4290,4220,4160,4200,4230,,
18,5/13/2020,4010,4150,4150,4000,4460,4290,4220,4160,4200,4230,4010,,
19,5/14/2020,3950,4150,4000,4460,4290,4220,4160,4200,4230,4010,4010,,
20,5/15/2020,3760,4000,4460,4290,4220,4160,4200,4230,4010,4010,3950,,
21,5/18/2020,3720,4460,4290,4220,4160,4200,4230,4010,4010,3950,3760,,
22,5/19/2020,3860,4290,4220,4160,4200,4230,4010,4010,3950,3760,3720,,
23,5/20/2020,4070,4220,4160,4200,4230,4010,4010,3950,3760,3720,3860,,
24,5/26/2020,4100,4160,4200,4230,4010,4010,3950,3760,3720,3860,4070,,
25,5/27/2020,4110,4200,4230,4010,4010,3950,3760,3720,3860,4070,4100,,
26,5/28/2020,4290,4230,4010,4010,3950,3760,3720,3860,4070,4100,4110,,
27,5/29/2020,4470,4010,4010,3950,3760,3720,3860,4070,4100,4110,4290,,
28,6/2/2020,4620,4010,3950,3760,3720,3860,4070,4100,4110,4290,4470,,
29,6/3/2020,4860,3950,3760,3720,3860,4070,4100,4110,4290,4470,4620,,
30,6/4/2020,4730,3760,3720,3860,4070,4100,4110,4290,4470,4620,4860,,
31,6/5/2020,4850,3720,3860,4070,4100,4110,4290,4470,4620,4860,4730,,
32,6/8/2020,5250,3860,4070,4100,4110,4290,4470,4620,4860,4730,4850,,
33,6/9/2020,5275,4070,4100,4110,4290,4470,4620,4860,4730,4850,5250,,
34,6/10/2020,4910,4100,4110,4290,4470,4620,4860,4730,4850,5250,5275,,
